txtno,portid,portdate,opening,high,low,closing,bid,offer,volume,valuess
"5978705","BBRI","2025-09-11","4000.000","4120.000","3980.000","4080.000","4080.000","4090.000","281910400","1147841635000"
"5979577","BBRI","2025-09-12","4180.000","4190.000","4110.000","4180.000","4170.000","4180.000","235383800","978011108000"
"5979905","BBRI","2025-09-15","4200.000","4220.000","4120.000","4140.000","4140.000","4150.000","157482000","656280229000"
"5981067","BBRI","2025-09-16","4160.000","4170.000","4080.000","4130.000","4120.000","4130.000","167511900","689296090000"
"5982471","BBRI","2025-09-17","4160.000","4220.000","4120.000","4220.000","4210.000","4220.000","245154800","1024181336000"
"5983344","BBRI","2025-09-18","4270.000","4270.000","4210.000","4250.000","4240.000","4250.000","332670300","1410154614000"
"5984007","BBRI","2025-09-19","4230.000","4250.000","4180.000","4250.000","4240.000","4250.000","211373200","895084893000"
"5984669","BBRI","2025-09-22","4250.000","4250.000","4110.000","4160.000","4150.000","4160.000","157592800","655730119000"
"5985761","BBRI","2025-09-23","4120.000","4170.000","4110.000","4140.000","4140.000","4150.000","110771700","457935135000"
"5987222","BBRI","2025-09-24","4140.000","4170.000","4100.000","4170.000","4150.000","4170.000","124591600","515964479000"
"5987653","BBRI","2025-09-25","4170.000","4170.000","4050.000","4070.000","4060.000","4070.000","129656800","531045253000"
"5988660","BBRI","2025-09-26","4050.000","4080.000","4000.000","4040.000","4030.000","4040.000","146229200","588678782000"
"5989529","BBRI","2025-09-29","4040.000","4040.000","3960.000","3980.000","3980.000","3990.000","126611800","505542866000"
"5990485","BBRI","2025-09-30","3980.000","3980.000","3900.000","3900.000","3900.000","3910.000","217357100","852189684000"
"5991420","BBRI","2025-10-01","3860.000","3940.000","3800.000","3810.000","3810.000","3820.000","223133600","858080752000"
"5992352","BBRI","2025-10-02","3760.000","3790.000","3710.000","3710.000","3710.000","3720.000","379620000","1422839078000"
"5993573","BBRI","2025-10-03","3710.000","3750.000","3680.000","3690.000","3690.000","3700.000","214737100","795307063000"
"5826268","BMRI","2025-01-02","5700.000","5850.000","5700.000","5850.000","5825.000","5850.000","82914600","480897372500"
"5826682","BMRI","2025-01-03","5850.000","5875.000","5775.000","5800.000","5775.000","5800.000","58067100","337112182500"
"5827538","BMRI","2025-01-06","5825.000","5825.000","5650.000","5675.000","5650.000","5675.000","68443700","389440370000"
"5828516","BMRI","2025-01-07","5600.000","5650.000","5550.000","5600.000","5575.000","5600.000","96982300","543013792500"
"5830088","BMRI","2025-01-08","5600.000","5750.000","5600.000","5750.000","5700.000","5750.000","118246100","670673450000"
"5830588","BMRI","2025-01-09","5725.000","5775.000","5700.000","5750.000","5725.000","5750.000","56491700","324072045000"
"5831249","BMRI","2025-01-10","5750.000","5775.000","5600.000","5600.000","5600.000","5625.000","77751500","440533002500"
"5832373","BMRI","2025-01-13","5500.000","5550.000","5475.000","5525.000","5500.000","5525.000","99953900","551275565000"
"5833203","BMRI","2025-01-14","5425.000","5575.000","5400.000","5400.000","5400.000","5425.000","97351900","530340610000"
"5834936","BMRI","2025-01-15","5475.000","5825.000","5450.000","5750.000","5750.000","5775.000","194025700","1095199012500"
"5835815","BMRI","2025-01-16","6075.000","6200.000","5850.000","5875.000","5875.000","5900.000","204359900","1217547700000"
"5836557","BMRI","2025-01-17","5800.000","6050.000","5750.000","5875.000","5875.000","5900.000","114054600","673595415000"
"5837709","BMRI","2025-01-20","6000.000","6050.000","5925.000","6000.000","6000.000","6025.000","84338400","506421722500"
"5838601","BMRI","2025-01-21","6100.000","6175.000","6025.000","6050.000","6050.000","6075.000","115355900","703782640000"
"5839614","BMRI","2025-01-22","6150.000","6200.000","6100.000","6150.000","6150.000","6175.000","117929800","726501277500"
"5840474","BMRI","2025-01-23","6200.000","6300.000","6175.000","6175.000","6175.000","6200.000","120893700","754306920000"
"5841011","BMRI","2025-01-24","6250.000","6250.000","6125.000","6125.000","6125.000","6150.000","96161800","593532265000"
"5842075","BMRI","2025-01-30","6100.000","6225.000","6075.000","6100.000","6100.000","6125.000","101400400","620591520000"
"5842808","BMRI","2025-01-31","6175.000","6225.000","6025.000","6025.000","6025.000","6075.000","107861000","659867720000"
"5843711","BMRI","2025-02-03","5975.000","6000.000","5700.000","5800.000","5775.000","5800.000","182181700","1056212930000"
"5844643","BMRI","2025-02-04","5825.000","5850.000","5625.000","5675.000","5675.000","5700.000","121871500","696530082500"
